"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","Total de contatos por mensagem","Novos contatos de mensagem",Término,"Configuração de atribuição","Custo por compra (BRL)","Índice de resultados","ROAS de resultados","Indicador de valor do resultado","Valor dos resultados",Visualizações,"CPC (custo por clique no link) (BRL)","Cliques únicos (todos)","Custo por clique único (todos) (BRL)","CTR único (todos)","CTR único (taxa de cliques no link)",Leads,"ROAS (retorno sobre o investimento em publicidade) da doação","ROAS (retorno sobre o investimento em publicidade) das compras","Visualizações da página de destino","Valor de conversão de leads","Custo por visualização da página de destino (BRL)","Custo por lead (BRL)"
2026-01-01,2026-04-09,"19/03 [IN] [TH] [MENSAGEM LANÇAMENTO | ÍTALO REDIDENCIAL CLUBE",active,153,actions:onsite_conversion.messaging_conversation_started_7d,3.82091503,30,Diário,584.6,87556,51167,1.711181,6.67687,696,161,149,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.17474531,,,,87783,0.839943,807,0.724411,1.577188,1.231262,,,,2,,292.3,
2026-01-01,2026-04-09,"04/04 [IN] [RA] [MENSAGEM LANÇAMENTO | WISH PARQUE ESTAÇÃO]",active,4,actions:onsite_conversion.messaging_conversation_started_7d,38.24,"Usando o orçamento do conjunto de anúncios",0,152.96,5636,3348,1.683393,27.139815,28,4,4,Contínuo,—,,0.07097232,,,,5494,5.462857,59,2.592542,1.762246,0.776583,,,,,,,
2026-01-01,2026-04-09,"05/04 [IN] [RA] [MENSAGEM LANÇAMENTO | GRAN BELLAGIO]",active,5,actions:onsite_conversion.messaging_conversation_started_7d,26.564,"Usando o orçamento do conjunto de anúncios",0,132.82,5118,3353,1.526394,25.951544,34,6,4,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.09769441,,,,5241,3.906471,58,2.29,1.729794,1.014017,,,,1,,132.82,
2026-01-01,2026-04-09,"06/04 [IN] [RA] [MENSAGEM LANÇAMENTO | SAM VITALE]",active,6,actions:onsite_conversion.messaging_conversation_started_7d,17.99333333,"Usando o orçamento do conjunto de anúncios",0,107.96,5748,4073,1.411245,18.782185,33,6,6,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.10438413,,,,5882,3.271515,43,2.510698,1.055733,0.785662,,,,,,,
2026-01-01,2026-04-09,"06/04 - [IN] [RA] [MENSAGEM - LEADS - ALUGUEL E VENDA]",active,17,actions:onsite_conversion.messaging_conversation_started_7d,16.41588235,"Usando o orçamento do conjunto de anúncios",0,279.07,10897,6277,1.73602,25.609801,120,17,15,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,0.15600624,,,,10952,2.325583,210,1.328905,3.345547,1.784292,,,,9,,31.007778,
2026-01-01,2026-04-09,"06/04 - [IN] [RA] [ALCANCE - VAGAS INTERNAS]",active,21196,reach,1.39413097,"Usando o orçamento do conjunto de anúncios",0,29.55,26080,21196,1.230421,1.133052,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,81.27300613,,,,25970,,22,1.343182,0.103793,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][SITE][CATÁLOGO] - Todos os imóveis",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][ALUGUEL][WHATSAPP] - IMÓVEIS ALTO PADRÃO",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"20/08 [IN][J][LEAD][CATALOGO][VENDA] - Imóveis 800k+",inactive,,,,60,Diário,0,0,0,0,0,,,,Contínuo,"Configurações de vários atributos",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"20/08 [IN][J][LEAD][CATALOGO][LOCAÇÃO] - Imóveis",inactive,,,,40,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"20/08 [IN][J][LEAD][CATALOGO][VENDA] - Imóveis 600k-",inactive,,,,40,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
